time,hPa
46,1006.86658
1045,1006.86658
2118,1006.86658
3097,1006.86658
4097,1006.87659
5147,1006.86658
6153,1006.85663
7145,1006.85663
8148,1006.85663
9198,1006.84662
10200,1006.84662
11197,1006.84662
12196,1006.86658
13196,1006.86658
14199,1006.86658
15196,1006.87659
16243,1006.87659
17246,1006.87659
18323,1006.87659
19348,1006.87659
20346,1006.88733
21395,1006.89661
22398,1006.89661
23395,1006.89661
24396,1006.89661
25398,1006.88660
26411,1006.89661
27396,1006.91656
28444,1006.89661
29446,1006.91656
30445,1006.92657
31446,1006.91656
32444,1006.90686
33444,1006.90662
34446,1006.89661
35445,1006.89661
36446,1006.88660
37447,1006.88660
38466,1006.89661
39451,1006.89661
40496,1006.89661
41496,1006.88660
42572,1006.87659
43596,1006.87659
44597,1006.86658
45595,1006.87659
46657,1006.88660
47645,1006.88660
48644,1006.88660
49644,1006.89551
50659,1006.88660
51644,1006.89661
52647,1006.85663
