time,USER,SYSTEM,IOW,IRQ
46,30,17,0,0
1045,30,17,0,0
2118,32,14,2,0
3097,32,14,2,0
4097,32,14,2,0
5147,32,14,2,0
6153,41,13,0,0
7145,41,13,0,0
8149,41,13,0,0
9199,41,13,0,0
10201,33,14,0,0
11197,33,14,0,0
12196,33,14,0,0
13197,33,14,0,0
14199,39,11,0,0
15196,39,11,0,0
16243,39,11,0,0
17247,39,11,0,0
18323,33,12,0,0
19348,33,12,0,0
20346,33,12,0,0
21395,33,12,0,0
22398,36,9,0,0
23396,36,9,0,0
24396,36,9,0,0
25399,36,9,0,0
26412,37,15,1,0
27396,37,15,1,0
28444,37,15,1,0
29446,37,15,1,0
30445,37,11,0,0
31447,37,11,0,0
32444,37,11,0,0
33444,37,11,0,0
34446,33,11,0,0
35445,33,11,0,0
36446,33,11,0,0
37447,33,11,0,0
38466,35,10,0,0
39451,35,10,0,0
40496,35,10,0,0
41496,35,10,0,0
42572,41,12,0,0
43597,41,12,0,0
44597,41,12,0,0
45595,41,12,0,0
46658,36,12,0,0
47645,36,12,0,0
48644,36,12,0,0
49645,36,12,0,0
50659,36,12,0,0
51644,36,12,0,0
52647,36,12,0,0
