time,available,total
46,356347904,1945096192
1045,355598336,1945096192
2118,355053568,1945096192
3097,352673792,1945096192
4097,352727040,1945096192
5147,355405824,1945096192
6153,357445632,1945096192
7145,358633472,1945096192
8149,358420480,1945096192
9199,345255936,1945096192
10201,346394624,1945096192
11197,359854080,1945096192
12196,359649280,1945096192
13197,359120896,1945096192
14199,357490688,1945096192
15196,359669760,1945096192
16243,359276544,1945096192
17247,357654528,1945096192
18324,358187008,1945096192
19348,357113856,1945096192
20346,358260736,1945096192
21395,356982784,1945096192
22398,358305792,1945096192
23396,358658048,1945096192
24396,358535168,1945096192
25399,358596608,1945096192
26412,358051840,1945096192
27396,356814848,1945096192
28444,357953536,1945096192
29446,353472512,1945096192
30445,353538048,1945096192
31447,353521664,1945096192
32445,352862208,1945096192
33444,353521664,1945096192
34446,357740544,1945096192
35446,356958208,1945096192
36446,358064128,1945096192
37447,357265408,1945096192
38466,358408192,1945096192
39452,356950016,1945096192
40496,357384192,1945096192
41496,357810176,1945096192
42572,357793792,1945096192
43597,356691968,1945096192
44597,356921344,1945096192
45596,356163584,1945096192
46658,355872768,1945096192
47645,364261376,1945096192
48644,353796096,1945096192
49645,352276480,1945096192
50659,350212096,1945096192
51644,347357184,1945096192
52647,350183424,1945096192
