time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
46,79,3945,29.2,-9223372036854775808,1183177,0
1045,79,3945,29.2,-9223372036854775808,582976,0
2118,79,3945,29.2,-9223372036854775808,475245,0
3097,79,3945,29.2,-9223372036854775808,591862,0
4097,79,3945,29.2,-9223372036854775808,712319,0
5147,79,3945,29.2,-9223372036854775808,565314,0
6153,79,3945,29.2,-9223372036854775808,903756,0
7145,79,3945,29.2,-9223372036854775808,494333,0
8149,79,3945,29.2,-9223372036854775808,1030466,0
9198,79,3945,29.2,-9223372036854775808,545018,0
10201,79,3945,29.2,-9223372036854775808,624445,0
11197,79,3945,29.2,-9223372036854775808,632673,0
12196,79,3945,29.2,-9223372036854775808,645948,0
13197,79,3945,29.2,-9223372036854775808,588900,0
14199,79,3945,29.2,-9223372036854775808,553465,0
15196,79,3945,29.2,-9223372036854775808,476671,0
16243,79,3945,29.2,-9223372036854775808,733492,0
17247,78,3953,29.2,-9223372036854775808,472941,0
18323,78,3953,29.2,-9223372036854775808,666901,0
19348,78,3953,29.2,-9223372036854775808,626968,0
20346,78,3953,29.2,-9223372036854775808,632673,0
21395,78,3953,29.2,-9223372036854775808,680833,0
22398,78,3953,29.2,-9223372036854775808,526807,0
23396,78,3953,29.2,-9223372036854775808,559170,0
24396,78,3953,29.2,-9223372036854775808,624445,0
25399,78,3953,29.2,-9223372036854775808,540081,0
26411,78,3953,29.2,-9223372036854775808,692901,0
27396,78,3953,29.2,-9223372036854775808,648470,0
28444,78,3953,29.2,-9223372036854775808,829156,0
29446,78,3953,29.2,-9223372036854775808,680175,0
30445,78,3953,29.2,-9223372036854775808,462738,0
31447,78,3953,29.2,-9223372036854775808,581330,0
32444,78,3953,29.2,-9223372036854775808,562241,0
33444,78,3953,29.2,-9223372036854775808,587693,0
34446,78,3953,29.2,-9223372036854775808,652969,0
35445,78,3953,29.2,-9223372036854775808,492578,0
36446,78,3953,29.2,-9223372036854775808,460215,0
37447,78,3953,29.2,-9223372036854775808,514738,0
38466,78,3953,29.2,-9223372036854775808,758177,0
39451,78,3953,29.2,-9223372036854775808,646605,0
40496,78,3953,29.2,-9223372036854775808,481828,0
41496,78,3953,29.2,-9223372036854775808,507717,0
42572,78,3953,29.2,-9223372036854775808,545786,0
43597,78,3953,29.2,-9223372036854775808,653626,0
44597,78,3953,29.2,-9223372036854775808,523625,0
45595,78,3953,29.2,-9223372036854775808,462738,0
46657,78,3953,29.2,-9223372036854775808,838042,0
47645,78,3953,29.2,-9223372036854775808,803156,0
48644,78,3953,29.2,-9223372036854775808,829814,0
49644,78,3953,29.2,-9223372036854775808,908473,0
50659,78,3953,29.2,-9223372036854775808,586377,0
51644,78,3953,29.2,-9223372036854775808,474148,0
52647,78,3953,29.2,-9223372036854775808,665036,0
