time,dB(SPL)
20059,77.17916
20109,77.45710
20159,78.03352
20210,77.28666
20260,71.11639
20311,69.93029
20360,69.52213
20409,71.59339
20460,72.37978
20510,69.59726
20560,72.84731
20610,72.69760
20662,72.41729
20710,68.27605
20760,71.14051
20809,75.79443
20860,75.95089
20925,74.88116
20966,76.78956
21010,73.48804
21059,75.71656
21109,74.47240
21159,70.70335
21210,67.80457
21260,73.88508
21310,74.63178
21360,73.92188
21410,69.77101
21461,70.08942
21509,72.78375
21559,71.44814
21610,68.59505
21660,72.97305
21710,73.60127
21760,73.93586
21811,74.30837
21860,74.09845
21923,72.20468
21960,73.27402
22010,73.43271
22060,71.73625
22110,70.18405
22160,70.29627
22210,69.59438
22260,72.94962
22310,76.03219
22360,75.77609
22410,74.26309
22460,72.36933
22510,73.46226
22559,74.01926
22610,75.20694
22660,74.35507
22709,72.83147
22760,72.54937
22810,71.46440
22860,72.92611
22922,73.84812
22960,73.48068
23009,67.41396
23060,72.24932
23110,70.61935
23160,71.92534
23210,68.85900
23259,72.60449
23310,72.15553
23360,72.48358
23409,67.90653
23460,67.53519
23509,70.43322
23560,73.24382
23609,72.02163
23660,79.73185
23710,77.27954
23760,74.71677
23810,71.83020
23859,70.24568
23921,64.66500
23960,73.27213
24009,74.20912
24060,78.81730
24110,77.50238
24160,77.33638
24210,73.30787
24260,75.26107
24310,76.78579
24360,71.94952
24410,71.59567
24460,72.43806
24509,72.99059
24560,72.99448
24610,73.28908
24660,72.54322
24710,69.55689
24760,72.01946
24810,78.91331
24860,79.17223
24943,73.10085
24960,71.54294
25010,68.42879
25060,72.20255
25110,72.95744
25160,73.39935
25210,72.25144
25260,71.61622
25309,68.77085
25361,73.52838
25411,73.78440
25460,74.45432
25510,74.38994
25560,73.65553
25610,73.47148
25660,73.04299
25710,73.97071
25760,72.15767
25810,67.82223
25860,69.65176
25922,73.44381
25964,73.77907
26010,74.86235
