time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
741,61,3868,29.0,-9223372036854775808,873083,0
1722,61,3868,29.0,-9223372036854775808,496207,0
2723,61,3868,29.0,-9223372036854775808,472713,0
3721,61,3868,29.0,-9223372036854775808,353273,0
4740,61,3868,29.0,-9223372036854775808,1072554,0
5722,61,3868,29.0,-9223372036854775808,699520,0
6722,61,3868,29.0,-9223372036854775808,691286,0
7727,61,3868,29.0,-9223372036854775808,639250,0
8744,61,3868,29.0,-9223372036854775808,541326,0
9722,61,3868,29.0,-9223372036854775808,429460,0
10727,61,3868,29.0,-9223372036854775808,554061,0
11727,61,3868,29.0,-9223372036854775808,637933,0
12757,61,3868,29.0,-9223372036854775808,568662,0
13723,61,3868,29.0,-9223372036854775808,814570,0
14773,61,3868,29.0,-9223372036854775808,464480,0
15771,61,3868,29.0,-9223372036854775808,686236,0
16811,61,3868,29.0,-9223372036854775808,676027,0
17822,61,3868,29.0,-9223372036854775808,794919,0
18825,61,3868,29.0,-9223372036854775808,717963,0
19874,61,3868,29.0,-9223372036854775808,627724,0
20963,61,3868,29.0,-9223372036854775808,622015,0
21923,61,3868,29.0,-9223372036854775808,484130,0
22922,61,3868,29.0,-9223372036854775808,895258,0
23921,61,3868,29.0,-9223372036854775808,817095,0
24944,61,3868,29.0,-9223372036854775808,1061795,0
25923,61,3868,29.0,-9223372036854775808,898442,0
