time,available,total
742,297230336,1945096192
1722,294359040,1945096192
2723,305500160,1945096192
3721,314691584,1945096192
4740,328937472,1945096192
5722,323284992,1945096192
6722,323162112,1945096192
7727,323194880,1945096192
8745,323870720,1945096192
9722,322453504,1945096192
10727,324579328,1945096192
11727,324263936,1945096192
12757,323932160,1945096192
13723,321187840,1945096192
14773,321843200,1945096192
15771,321638400,1945096192
16811,320643072,1945096192
17822,319225856,1945096192
18825,317218816,1945096192
19874,317054976,1945096192
20964,316932096,1945096192
21924,313581568,1945096192
22922,318341120,1945096192
23921,316116992,1945096192
24944,315797504,1945096192
25923,313327616,1945096192
