time,hPa
181,1006.81665
1221,1006.79663
2221,1006.79663
3273,1006.80664
4272,1006.78662
5273,1006.79663
6272,1006.82666
7269,1006.81665
8269,1006.83661
9268,1006.84662
10276,1006.82666
11276,1006.81665
12271,1006.82666
13275,1006.84662
14273,1006.83661
15320,1006.85663
16322,1006.84583
17370,1006.85663
18412,1006.84662
19378,1006.83661
20376,1006.84662
21374,1006.83661
22386,1006.83661
23374,1006.84662
24374,1006.84662
25370,1006.84662
26417,1006.83661
27421,1006.84662
28469,1006.84662
29470,1006.84662
30510,1006.83777
31470,1006.81665
32468,1006.80664
33479,1006.78662
34474,1006.78662
35470,1006.81665
36474,1006.81665
37470,1006.81665
38490,1006.80664
39471,1006.78662
40519,1006.79663
41522,1006.79663
42569,1006.81665
43568,1006.81665
44572,1006.83197
45571,1006.81665
46579,1006.81665
47571,1006.80664
48568,1006.79730
49620,1006.80664
50656,1006.80664
