time,available,total
182,275214336,1945096192
1222,273899520,1945096192
2221,273858560,1945096192
3273,271462400,1945096192
4272,276041728,1945096192
5273,276094976,1945096192
6272,276017152,1945096192
7270,275206144,1945096192
8269,275079168,1945096192
9269,276627456,1945096192
10277,275968000,1945096192
11276,275988480,1945096192
12274,274944000,1945096192
13276,273313792,1945096192
14274,284168192,1945096192
15321,285609984,1945096192
16323,284786688,1945096192
17370,284745728,1945096192
18413,283938816,1945096192
19379,283832320,1945096192
20376,284942336,1945096192
21374,285229056,1945096192
22386,284860416,1945096192
23375,282050560,1945096192
24375,282877952,1945096192
25370,281509888,1945096192
26422,280633344,1945096192
27421,279740416,1945096192
28469,279642112,1945096192
29473,279052288,1945096192
30511,278810624,1945096192
31471,278315008,1945096192
32468,278990848,1945096192
33482,277094400,1945096192
34474,276942848,1945096192
35471,277151744,1945096192
36474,276992000,1945096192
37472,279248896,1945096192
38492,279035904,1945096192
39472,276492288,1945096192
40519,278302720,1945096192
41522,278614016,1945096192
42570,278290432,1945096192
43569,277012480,1945096192
44573,276750336,1945096192
45571,276430848,1945096192
46610,275939328,1945096192
47572,273850368,1945096192
48568,273506304,1945096192
49620,275820544,1945096192
50657,276250624,1945096192
