time,lx
24,1007.42981
58,1007.42981
108,998.64954
181,978.75616
209,978.75616
258,970.62952
308,970.62952
358,960.34039
408,960.34039
458,949.07007
508,949.07007
558,938.49390
609,938.49390
659,931.58942
709,931.58942
759,925.86328
808,925.86328
858,929.43237
908,929.43237
958,932.00000
1008,932.00000
1058,928.54077
1108,928.54077
1158,924.94330
1221,924.94330
1259,928.13586
1308,928.13586
1358,931.38354
1408,931.38354
1458,934.04907
1508,934.04907
1557,935.00000
1607,935.00000
1658,937.07874
1708,937.07874
1759,938.00000
1808,938.00000
1858,938.00000
1908,938.00000
1958,932.46313
2009,932.46313
2058,925.91663
2109,925.91663
2159,931.52692
2221,931.52692
2259,931.52692
2308,927.40143
2358,895.32623
2407,895.32623
2457,856.68164
2508,856.68164
2558,859.50098
2608,859.50098
2658,866.00000
2708,866.00000
2758,866.00000
2808,868.05664
2858,868.05664
2908,859.31409
2958,846.07697
3008,846.07697
3058,844.07031
3108,844.07031
3159,848.46301
3209,848.46301
3273,833.67871
3308,833.67871
3360,820.50452
3408,820.50452
3458,827.00812
3507,827.00812
3557,849.54846
3608,849.54846
3658,907.73181
3708,907.73181
3757,1298.09277
3808,1298.09277
3858,1295.59253
3909,1295.59253
3958,984.77789
4010,984.77789
4058,1055.74438
4109,1055.74438
4158,1055.74438
4208,1130.56104
4272,1130.56104
4309,1130.56104
4358,719.23547
4408,719.23547
4458,719.23547
4510,719.23547
4559,719.23547
4609,1862.37000
4659,1862.37000
4708,1862.37000
4758,1215.27148
4809,1215.27148
4858,1215.27148
4913,1215.27148
4959,1215.27148
5009,1240.38733
5058,1240.38733
5109,1148.27808
5159,1148.27808
5209,1227.59656
5273,1227.59656
5309,1227.59656
5360,1227.59656
5409,1129.22021
5458,1129.22021
5508,1004.40796
5559,1004.40796
5608,943.28259
5659,943.28259
5709,1194.45251
5758,1194.45251
5809,1194.45251
5859,575.24921
5908,575.24921
5959,575.24921
6009,683.69751
6059,683.69751
6108,827.94397
6157,827.94397
6208,835.93408
6271,835.93408
6310,835.93408
6359,1268.20557
6408,1268.20557
6458,1268.20557
6509,2189.33984
6558,2189.33984
6608,2189.33984
6658,1153.75232
6710,1153.75232
6759,1153.75232
6808,798.74982
6858,798.74982
6909,1194.82874
6958,1194.82874
7008,1176.74170
7059,1176.74170
7108,1044.28589
7158,1044.28589
7208,1284.58228
7269,1284.58228
7310,1284.58228
7358,1284.58228
7408,1336.00830
7459,1336.00830
7508,1155.79785
7558,1155.79785
7609,910.22705
7662,910.22705
7709,1012.25592
7759,1012.25592
7808,981.03400
7858,981.03400
7908,1198.98816
7958,1198.98816
8007,1082.15161
8058,1082.15161
8110,1239.24561
8158,1239.24561
8208,1169.11646
8269,1169.11646
8308,1220.99072
8358,1220.99072
8408,1220.99072
8459,970.18921
8508,970.18921
8559,970.18921
8609,1113.54688
8659,1113.54688
8708,1202.04590
8759,1202.04590
8809,1371.69287
8859,1371.69287
8909,1287.01843
8958,1287.01843
9008,1109.41699
9059,1109.41699
9109,1319.95837
9159,1319.95837
9208,1229.28052
9268,1229.28052
9308,1229.28052
9358,1318.78723
9408,1206.69727
9458,1206.69727
9508,1394.34595
9558,1394.34595
9609,1394.34595
9658,1394.34595
9708,1555.62207
9758,1555.62207
9808,1089.69287
9859,1089.69287
9908,1169.49451
9958,1169.49451
10008,1169.49451
10058,912.41528
10108,912.41528
10159,912.41528
10209,1933.83276
10276,1933.83276
10310,1933.83276
10358,1892.63245
10408,1892.63245
10458,1067.01172
10508,1067.01172
10558,1067.01172
10608,1067.01172
10659,1406.02930
10709,1316.94531
10759,1316.94531
10808,1359.65564
10859,1359.65564
10908,1274.70349
10958,1274.70349
11008,1241.78027
11059,1241.78027
11109,1458.89270
11158,1458.89270
11208,1260.58179
11274,1260.58179
11308,1260.58179
11358,964.31781
11409,964.31781
11459,964.31781
11509,602.60046
11559,602.60046
11608,514.64880
11658,514.64880
11708,567.98102
11760,567.98102
11809,674.26544
11858,674.26544
11908,721.39539
11958,721.39539
12007,768.49066
12058,768.49066
12108,768.49066
12158,972.57764
12208,972.57764
12271,1191.76807
12307,1191.76807
12357,1156.19495
12409,1156.19495
12458,1051.72180
12511,1051.72180
12558,1210.28931
12608,1210.28931
12658,1173.25854
12708,1173.25854
12758,1012.22400
12810,1012.22400
12858,1076.20068
12908,1076.20068
12958,1302.88281
13008,1302.88281
13058,1313.45264
13107,1313.45264
13157,1361.04626
13208,1361.04626
13274,1439.68835
13308,1439.68835
13358,1241.47681
13408,1241.47681
13458,1148.42871
13508,1148.42871
13558,985.45776
13608,985.45776
13658,1304.89636
13709,1304.89636
13759,1346.90332
13807,1346.90332
13859,1320.25525
13908,1320.25525
13958,1268.29456
14009,1268.29456
14059,1134.29578
14108,1134.29578
14159,1247.37598
14208,1247.37598
14272,1241.13965
14335,1241.13965
14408,1369.55396
14458,1313.32898
14508,1313.32898
14558,1318.43982
14608,1318.43982
14658,1083.76697
14707,1083.76697
14757,1266.58374
14808,1266.58374
14859,1221.42822
14910,1221.42822
14959,1221.42822
15008,1407.20483
15059,1286.86011
15108,1286.86011
15159,1331.40479
15209,1331.40479
15261,1184.42798
15320,1184.42798
15359,1304.71204
15408,1304.71204
15458,1329.46875
15508,1329.46875
15558,1469.25806
15608,1469.25806
15659,1530.45276
15708,1530.45276
15759,1457.70349
15808,1457.70349
15858,1449.50879
15908,1449.50879
15959,1078.17114
16008,1078.17114
16059,1343.93311
16108,1343.93311
16157,1375.53027
16209,1375.53027
16258,1399.42590
16321,1399.42590
16358,1303.05237
16409,1303.05237
16458,1339.02014
16508,1339.02014
16558,1114.87524
16609,1114.87524
16658,1434.05066
16709,1434.05066
16758,1508.06982
16808,1508.06982
16859,1642.16943
16909,1642.16943
16958,1633.44177
17009,1633.44177
17058,1592.00000
17108,1592.00000
17160,1342.10864
17208,1342.10864
17258,1598.46130
17308,1598.46130
17369,1560.46411
17408,1560.46411
17459,1607.28125
17508,1607.28125
17558,1490.12903
17609,1490.12903
17660,1483.53699
17709,1483.53699
17759,1295.94519
17809,1295.94519
17859,1158.59814
17909,1158.59814
17958,1356.59082
18009,1356.59082
18059,1388.67090
18108,1388.67090
18158,1461.18140
18209,1461.18140
18259,1447.51843
18308,1447.51843
18412,1487.27393
18427,1487.27393
18458,1487.27393
18509,1336.86145
18559,1336.86145
18608,1265.96851
18658,1265.96851
18709,1189.08044
18758,1189.08044
18808,1149.53491
18858,1149.53491
18909,1048.92529
18958,1048.92529
19008,947.37354
19060,947.37354
19109,899.83984
19158,899.83984
19209,956.09082
19258,956.09082
19308,937.66992
19378,937.66992
19408,803.91064
19458,803.91064
19509,803.91064
19559,458.37668
19609,458.37668
19659,354.13885
19708,354.13885
19759,323.73654
19808,323.73654
19860,370.15747
19908,370.15747
19960,600.95435
20008,600.95435
20059,600.95435
20108,988.38544
20158,988.38544
20209,1277.90979
20258,1277.90979
20309,1455.08374
20375,1455.08374
20408,1569.78906
20458,1569.78906
20509,1832.72864
20558,1832.72864
20608,1958.24084
20658,1958.24084
20709,1549.64722
20758,1549.64722
20808,1760.21753
20859,1760.21753
20908,1359.83374
20958,1359.83374
21009,1288.69775
21059,1288.69775
21109,1322.66772
21158,1322.66772
21208,1780.32886
21260,1780.32886
21308,1425.33289
21374,1425.33289
21410,1483.92114
21459,1483.92114
21508,1223.12219
21558,1223.12219
21607,1378.46826
21657,1378.46826
21707,1403.23535
21758,1403.23535
21808,1454.04639
21860,1454.04639
21909,1189.78503
21958,1189.78503
22008,1301.18286
22058,1301.18286
22109,1311.46228
22159,1311.46228
22209,1238.78284
22259,1238.78284
22308,1495.72742
22386,1495.72742
22408,1269.37915
22458,1269.37915
22507,1375.84961
22558,1375.84961
22608,1453.55444
22658,1453.55444
22708,1125.02051
22758,1125.02051
22808,1401.19702
22859,1401.19702
22908,1284.89661
22958,1284.89661
23008,1297.74854
23058,1297.74854
23109,1169.46240
23159,1169.46240
23208,1147.59766
23259,1147.59766
23308,1207.80298
23374,1207.80298
23408,999.76416
23459,999.76416
23507,1311.46094
23558,1311.46094
23608,1071.81079
23658,1071.81079
23708,1249.07837
23758,1249.07837
23808,1231.27747
23858,1231.27747
23907,1314.10547
23957,1314.10547
24010,1254.00635
24058,1254.00635
