time,USER,SYSTEM,IOW,IRQ
182,35,17,10,0
1221,35,17,10,0
2221,34,15,3,0
3273,34,15,3,0
4272,34,15,3,0
5273,34,15,3,0
6272,34,11,2,0
7270,34,11,2,0
8269,34,11,2,0
9269,34,11,2,0
10277,44,12,0,0
11276,44,12,0,0
12274,44,12,0,0
13275,44,12,0,0
14274,33,12,0,0
15321,33,12,0,0
16323,33,12,0,0
17370,33,12,0,0
18413,36,13,0,0
19378,36,13,0,0
20376,36,13,0,0
21374,36,13,0,0
22386,39,12,0,0
23375,39,12,0,0
24375,39,12,0,0
25370,39,12,0,0
26422,35,14,1,0
27421,35,14,1,0
28469,35,14,1,0
29473,35,14,1,0
30511,33,13,1,0
31471,33,13,1,0
32468,33,13,1,0
33482,33,13,1,0
34474,40,10,0,0
35471,40,10,0,0
36474,40,10,0,0
37472,40,10,0,0
38492,39,14,0,0
39472,39,14,0,0
40519,39,14,0,0
41522,39,14,0,0
42570,35,12,0,0
43569,35,12,0,0
44573,35,12,0,0
45571,35,12,0,0
46610,38,13,1,0
47572,38,13,1,0
48568,38,13,1,0
49620,38,13,1,0
50657,36,11,0,0
