time,available,total
395,326287360,1945096192
1374,326057984,1945096192
2373,326672384,1945096192
3375,326115328,1945096192
4377,326975488,1945096192
5375,327729152,1945096192
6373,328716288,1945096192
7384,329666560,1945096192
8377,342441984,1945096192
9375,341676032,1945096192
10374,344174592,1945096192
11383,343949312,1945096192
12395,345944064,1945096192
13377,363360256,1945096192
14373,362647552,1945096192
15376,378060800,1945096192
16428,376905728,1945096192
17428,378068992,1945096192
18431,377040896,1945096192
19473,377237504,1945096192
20508,378490880,1945096192
21475,379150336,1945096192
22477,379912192,1945096192
23522,379154432,1945096192
24558,378540032,1945096192
25525,378281984,1945096192
26531,377942016,1945096192
27528,377749504,1945096192
28527,376651776,1945096192
29522,375304192,1945096192
30523,376295424,1945096192
31525,374759424,1945096192
32574,375017472,1945096192
33578,375296000,1945096192
34574,375918592,1945096192
35574,375365632,1945096192
36609,374931456,1945096192
37573,374935552,1945096192
38573,375783424,1945096192
39574,373428224,1945096192
40614,373497856,1945096192
41575,371249152,1945096192
42574,372600832,1945096192
43574,372068352,1945096192
44609,371105792,1945096192
45573,371011584,1945096192
46583,371617792,1945096192
47585,371363840,1945096192
48627,369254400,1945096192
49623,367554560,1945096192
50675,369725440,1945096192
51673,370446336,1945096192
