time,strength,level,source
394,99,4,gsm
2373,99,4,gsm
5374,99,4,gsm
8376,99,4,gsm
12395,99,4,gsm
14373,99,4,gsm
18431,99,4,gsm
20508,99,4,gsm
23522,99,4,gsm
27528,99,4,gsm
29522,99,4,gsm
32574,99,4,gsm
36608,99,4,gsm
38573,99,4,gsm
40613,99,4,gsm
45573,99,4,gsm
46582,99,4,gsm
49622,99,4,gsm
