time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
395,86,3992,29.3,-9223372036854775808,669857,0
1374,86,3992,29.3,-9223372036854775808,870792,0
2373,86,3992,29.3,-9223372036854775808,825614,0
3375,86,3992,29.3,-9223372036854775808,717563,0
4377,86,3992,29.3,-9223372036854775808,976976,0
5375,86,3992,29.3,-9223372036854775808,1097010,0
6373,86,3992,29.3,-9223372036854775808,742954,0
7384,86,3992,29.3,-9223372036854775808,713165,0
8377,86,3992,29.3,-9223372036854775808,768456,0
9374,86,3992,29.3,-9223372036854775808,756365,0
10374,86,3992,29.3,-9223372036854775808,645125,0
11383,86,3992,29.3,-9223372036854775808,633033,0
12395,86,3992,29.3,-9223372036854775808,757574,0
13377,86,3992,29.3,-9223372036854775808,773512,0
14373,86,3992,29.3,-9223372036854775808,1236279,0
15376,85,3921,29.4,-9223372036854775808,729654,0
16428,85,3921,29.4,-9223372036854775808,648312,0
17428,85,3921,29.4,-9223372036854775808,674363,0
18431,85,3921,29.4,-9223372036854775808,657216,0
19473,85,3921,29.4,-9223372036854775808,758233,0
20508,85,3921,29.4,-9223372036854775808,621601,0
21475,85,3921,29.4,-9223372036854775808,593022,0
22477,85,3921,29.4,-9223372036854775808,805938,0
23522,85,3921,29.4,-9223372036854775808,926082,0
24557,85,3921,29.4,-9223372036854775808,793847,0
25525,85,3921,29.4,-9223372036854775808,568839,0
26531,85,3921,29.4,-9223372036854775808,669857,0
27528,85,3921,29.4,-9223372036854775808,757024,0
28527,85,3921,29.4,-9223372036854775808,601926,0
29522,85,3921,29.4,-9223372036854775808,578403,0
30523,85,3921,29.4,-9223372036854775808,649522,0
31525,85,3921,29.4,-9223372036854775808,624790,0
32574,85,3921,29.4,-9223372036854775808,653368,0
33578,85,3921,29.4,-9223372036854775808,667988,0
34574,85,3921,29.4,-9223372036854775808,732841,0
35574,85,3921,29.4,-9223372036854775808,646443,0
36608,85,3921,29.4,-9223372036854775808,921026,0
37573,85,3921,29.4,-9223372036854775808,884093,0
38573,85,3921,29.4,-9223372036854775808,540919,0
39574,85,3921,29.4,-9223372036854775808,711187,0
40614,85,3921,29.4,-9223372036854775808,673044,0
41575,85,3921,29.4,-9223372036854775808,627977,0
42574,85,3921,29.4,-9223372036854775808,694699,0
43574,85,3921,29.4,-9223372036854775808,739876,0
44609,85,3921,29.4,-9223372036854775808,540260,0
45573,85,3921,29.4,-9223372036854775808,674363,0
46583,85,3921,29.4,-9223372036854775808,719541,0
47585,85,3921,29.4,-9223372036854775808,706130,0
48627,85,3921,29.4,-9223372036854775808,675683,0
49623,85,3921,29.4,-9223372036854775808,584119,0
50675,85,3921,29.4,-9223372036854775808,540260,0
51673,85,3921,29.4,-9223372036854775808,552352,0
