time,strength,level,source
67,99,3,gsm
1065,99,3,gsm
4101,99,3,gsm
6151,99,3,gsm
11201,99,3,gsm
12201,99,4,gsm
16261,99,4,gsm
19301,99,4,gsm
21319,99,4,gsm
24300,99,4,gsm
29336,99,4,gsm
