time,hPa
363,1006.83661
1365,1006.84662
2368,1006.83661
3364,1006.83661
4364,1006.84662
5416,1006.82666
6417,1006.83301
7412,1006.83661
8445,1006.82666
9415,1006.82666
10415,1006.83661
11415,1006.83661
12413,1006.85663
13468,1006.85852
14514,1006.84662
15514,1006.84662
16547,1006.83661
17565,1006.85663
18563,1006.85663
19563,1006.84662
20601,1006.84662
21565,1006.84662
22575,1006.83661
23567,1006.83661
24566,1006.84662
25563,1006.84662
26562,1006.84662
27565,1006.85663
28646,1006.83661
29615,1006.83661
30614,1006.84662
31612,1006.85663
32614,1006.83661
33615,1006.84662
34663,1006.84662
35666,1006.84662
36679,1006.83777
37665,1006.84662
38664,1006.85663
39664,1006.83661
40748,1006.85663
41714,1006.84662
42713,1006.83661
43714,1006.86658
44743,1006.85663
45767,1006.85663
46763,1006.86658
47764,1006.87659
48767,1006.86658
49823,1006.86658
50818,1006.87659
51813,1006.88660
52815,1006.88660
53815,1006.87659
54814,1006.86658
55813,1006.86658
