time,available,total
381,285917184,1945096192
1365,293044224,1945096192
2368,293363712,1945096192
3365,292663296,1945096192
4365,296030208,1945096192
5416,288866304,1945096192
6418,293019648,1945096192
7412,292503552,1945096192
8446,292331520,1945096192
9415,287010816,1945096192
10416,291889152,1945096192
11415,290922496,1945096192
12413,290938880,1945096192
13469,288862208,1945096192
14514,297336832,1945096192
15514,296714240,1945096192
16548,296304640,1945096192
17566,294449152,1945096192
18563,296280064,1945096192
19564,296992768,1945096192
20603,297398272,1945096192
21565,297570304,1945096192
22575,295596032,1945096192
23569,295809024,1945096192
24566,294739968,1945096192
25564,295346176,1945096192
26562,294289408,1945096192
27565,293076992,1945096192
28649,293355520,1945096192
29615,291229696,1945096192
30617,291762176,1945096192
31612,291409920,1945096192
32614,291237888,1945096192
33615,291221504,1945096192
34664,291831808,1945096192
35666,291434496,1945096192
36679,291602432,1945096192
37666,290574336,1945096192
38665,292802560,1945096192
39664,292495360,1945096192
40749,292458496,1945096192
41714,291127296,1945096192
42714,291532800,1945096192
43714,291237888,1945096192
44744,289755136,1945096192
45768,287211520,1945096192
46763,287690752,1945096192
47765,287092736,1945096192
48767,286654464,1945096192
49824,289353728,1945096192
50819,291311616,1945096192
51814,292438016,1945096192
52815,291966976,1945096192
53815,292491264,1945096192
54814,293605376,1945096192
55813,294244352,1945096192
