time,USER,SYSTEM,IOW,IRQ
381,38,17,0,0
1365,38,17,0,0
2368,38,17,0,0
3365,38,17,0,0
4365,35,15,1,0
5416,35,15,1,0
6418,35,15,1,0
7412,35,15,1,0
8446,36,13,0,0
9415,36,13,0,0
10416,36,13,0,0
11415,36,13,0,0
12413,37,13,0,0
13469,37,13,0,0
14514,37,13,0,0
15514,37,13,0,0
16548,38,13,0,0
17566,38,13,0,0
18563,38,13,0,0
19564,38,13,0,0
20602,37,14,0,0
21565,37,14,0,0
22575,37,14,0,0
23569,37,14,0,0
24566,37,14,0,0
25564,37,14,0,0
26562,37,14,0,0
27565,37,14,0,0
28649,35,14,0,0
29615,35,14,0,0
30617,35,14,0,0
31612,35,14,0,0
32614,38,16,0,0
33615,38,16,0,0
34664,38,16,0,0
35666,38,16,0,0
36679,39,13,0,0
37665,39,13,0,0
38665,39,13,0,0
39664,39,13,0,0
40749,37,13,0,0
41714,37,13,0,0
42714,37,13,0,0
43714,37,13,0,0
44744,37,16,2,0
45768,37,16,2,0
46763,37,16,2,0
47764,37,16,2,0
48767,34,14,0,0
49824,34,14,0,0
50819,34,14,0,0
51814,34,14,0,0
52815,37,14,0,0
53815,37,14,0,0
54814,37,14,0,0
55813,37,14,0,0
