time,available,total
866,276209664,1945096192
1918,274432000,1945096192
2916,275374080,1945096192
3917,274812928,1945096192
4913,274292736,1945096192
5915,272457728,1945096192
6915,272109568,1945096192
7964,269496320,1945096192
8968,268963840,1945096192
9973,268079104,1945096192
10974,269557760,1945096192
12017,269594624,1945096192
13034,269631488,1945096192
14015,267542528,1945096192
15017,268517376,1945096192
16015,270422016,1945096192
17049,269742080,1945096192
18019,267333632,1945096192
19015,270245888,1945096192
20063,280965120,1945096192
21084,280756224,1945096192
22071,279912448,1945096192
23064,279789568,1945096192
24112,281915392,1945096192
25141,281321472,1945096192
26118,289230848,1945096192
27115,289206272,1945096192
28114,288509952,1945096192
29150,288190464,1945096192
30115,286990336,1945096192
31113,290091008,1945096192
32113,288526336,1945096192
33147,289316864,1945096192
34165,288288768,1945096192
35166,288321536,1945096192
36215,289488896,1945096192
37285,288317440,1945096192
38264,285790208,1945096192
39269,286736384,1945096192
40315,286076928,1945096192
41320,285569024,1945096192
42375,285237248,1945096192
43365,283484160,1945096192
44366,285859840,1945096192
45392,286085120,1945096192
46363,283426816,1945096192
47363,285667328,1945096192
48367,284475392,1945096192
49366,286961664,1945096192
50414,286928896,1945096192
51415,287596544,1945096192
