time,USER,SYSTEM,IOW,IRQ
866,41,15,0,0
1918,41,15,0,0
2916,41,15,0,0
3917,41,15,0,0
4913,39,15,0,0
5915,39,15,0,0
6915,39,15,0,0
7964,39,15,0,0
8968,42,11,0,0
9973,42,11,0,0
10974,42,11,0,0
12017,42,11,0,0
13034,41,14,0,0
14015,41,14,0,0
15017,41,14,0,0
16015,41,14,0,0
17049,40,13,0,0
18019,40,13,0,0
19015,40,13,0,0
20063,40,13,0,0
21084,37,14,0,0
22071,37,14,0,0
23064,37,14,0,0
24112,37,14,0,0
25141,30,11,0,0
26118,30,11,0,0
27115,30,11,0,0
28114,30,11,0,0
29150,32,13,0,0
30115,32,13,0,0
31113,32,13,0,0
32113,32,13,0,0
33147,34,13,0,0
34165,34,13,0,0
35166,34,13,0,0
36215,34,13,0,0
37285,34,11,0,0
38264,34,11,0,0
39269,34,11,0,0
40315,34,11,0,0
41320,31,12,0,0
42375,31,12,0,0
43365,31,12,0,0
44366,31,12,0,0
45392,35,12,0,0
46363,35,12,0,0
47363,35,12,0,0
48367,35,12,0,0
49365,37,14,0,0
50414,37,14,0,0
51415,37,14,0,0
