time,strength,level,source
866,99,4,gsm
1917,99,4,gsm
4913,99,4,gsm
8967,99,4,gsm
10974,99,4,gsm
14015,99,4,gsm
18019,99,4,gsm
20063,99,4,gsm
23064,99,4,gsm
26118,99,4,gsm
29149,99,4,gsm
31113,99,4,gsm
36215,99,4,gsm
38264,99,4,gsm
40315,99,4,gsm
45391,99,4,gsm
47363,99,4,gsm
49365,99,4,gsm
