time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
866,82,3966,29.3,-9223372036854775808,729873,0
1917,82,3966,29.3,-9223372036854775808,786373,0
2916,82,3966,29.3,-9223372036854775808,957190,0
3917,82,3966,29.3,-9223372036854775808,893106,0
4913,82,3966,29.3,-9223372036854775808,838476,0
5915,82,3966,29.3,-9223372036854775808,842872,0
6915,82,3966,29.3,-9223372036854775808,786373,0
7964,82,3966,29.3,-9223372036854775808,762190,0
8967,82,3966,29.3,-9223372036854775808,716463,0
9973,82,3966,29.3,-9223372036854775808,858811,0
10974,82,3966,29.3,-9223372036854775808,812424,0
12017,82,3966,29.3,-9223372036854775808,1089975,0
13034,82,3966,29.3,-9223372036854775808,1133833,0
14015,82,3966,29.3,-9223372036854775808,1005555,0
15017,82,3966,29.3,-9223372036854775808,790770,0
16015,82,3966,29.3,-9223372036854775808,1340924,0
17049,82,3966,29.3,-9223372036854775808,1036663,0
18019,82,3966,29.3,-9223372036854775808,787032,0
19015,82,3966,29.3,-9223372036854775808,626328,0
20063,82,3966,29.3,-9223372036854775808,647214,0
21084,82,3966,29.3,-9223372036854775808,563343,0
22071,82,3966,29.3,-9223372036854775808,680959,0
23064,82,3966,29.3,-9223372036854775808,471230,0
24112,82,3966,29.3,-9223372036854775808,483980,0
25141,82,3966,29.3,-9223372036854775808,969281,0
26118,82,3966,29.3,-9223372036854775808,739327,0
27115,82,3966,29.3,-9223372036854775808,678321,0
28114,82,3966,29.3,-9223372036854775808,762850,0
29150,82,3966,29.3,-9223372036854775808,517616,0
30115,82,3966,29.3,-9223372036854775808,605333,0
31113,82,3966,29.3,-9223372036854775808,534764,0
32112,82,3966,29.3,-9223372036854775808,604674,0
33147,82,3966,29.3,-9223372036854775808,755815,0
34164,82,3966,29.3,-9223372036854775808,584998,0
35166,82,3966,29.3,-9223372036854775808,696787,0
36215,82,3966,29.3,-9223372036854775808,726027,0
37285,82,3966,29.3,-9223372036854775808,785054,0
38264,82,3966,29.3,-9223372036854775808,560816,0
39268,82,3966,29.3,-9223372036854775808,518276,0
40315,82,3966,29.3,-9223372036854775808,623690,0
41320,82,3966,29.3,-9223372036854775808,628196,0
42375,82,3966,29.3,-9223372036854775808,625669,0
43364,82,3966,29.3,-9223372036854775808,802861,0
44366,82,3966,29.3,-9223372036854775808,647872,0
45392,82,3966,29.3,-9223372036854775808,508164,0
46363,82,3966,29.3,-9223372036854775808,774281,0
47363,82,3966,29.3,-9223372036854775808,563343,0
48367,82,3966,29.3,-9223372036854775808,611049,0
49365,82,3966,29.3,-9223372036854775808,757794,0
50413,82,3966,29.3,-9223372036854775808,711407,0
51415,82,3966,29.3,-9223372036854775808,662492,0
