time,hPa
720,998.67114
1716,998.66113
2716,998.67114
3715,998.66113
4763,998.66113
5764,998.65112
6764,998.63110
7792,998.63110
8765,998.64111
9763,998.65112
10765,998.65112
11792,998.64111
12765,998.65112
13765,998.65112
14773,998.64392
15764,998.65112
16815,998.64111
17815,998.66113
18814,998.67114
19816,998.66113
20813,998.66113
21865,998.65112
22864,998.66113
23949,998.67102
24914,998.66113
25915,998.66113
26915,998.67114
27953,998.67114
