time,available,total
720,269836288,1945096192
1716,267493376,1945096192
2716,268619776,1945096192
3741,266465280,1945096192
4763,257839104,1945096192
5764,253657088,1945096192
6765,249856000,1945096192
7793,251609088,1945096192
8766,264896512,1945096192
9763,266964992,1945096192
10765,266391552,1945096192
11792,273522688,1945096192
12765,273178624,1945096192
13765,274817024,1945096192
14773,274137088,1945096192
15764,274608128,1945096192
16816,273367040,1945096192
17815,276836352,1945096192
18814,276303872,1945096192
19817,275812352,1945096192
20814,275378176,1945096192
21865,275521536,1945096192
22864,273747968,1945096192
23950,274198528,1945096192
24914,272572416,1945096192
25915,274391040,1945096192
26916,272781312,1945096192
27954,271462400,1945096192
