time,USER,SYSTEM,IOW,IRQ
720,66,26,2,1
1716,66,26,2,1
2716,66,26,2,1
3716,51,23,10,0
4763,51,23,10,0
5764,51,23,10,0
6765,51,23,10,0
7793,45,20,11,0
8766,45,20,11,0
9763,45,20,11,0
10765,45,20,11,0
11792,44,14,0,0
12765,44,14,0,0
13765,44,14,0,0
14773,44,14,0,0
15764,40,14,0,0
16816,40,14,0,0
17815,40,14,0,0
18814,40,14,0,0
19816,41,15,2,0
20814,41,15,2,0
21865,41,15,2,0
22864,41,15,2,0
23950,37,15,8,0
24914,37,15,8,0
25915,37,15,8,0
26916,37,15,8,0
27954,43,14,1,0
