time,USER,SYSTEM,IOW,IRQ
230,41,20,5,0
1232,41,20,5,0
2236,33,17,3,0
3235,33,17,3,0
4231,33,17,3,0
5283,33,17,3,0
6318,36,13,1,0
7283,36,13,1,0
8332,36,13,1,0
9332,36,13,1,0
10367,35,12,0,0
11334,35,12,0,0
12329,35,12,0,0
13333,35,12,0,0
14334,35,14,1,0
15330,35,14,1,0
16334,35,14,1,0
17390,35,14,1,0
18392,34,13,0,0
19380,34,13,0,0
20382,34,13,0,0
21433,34,13,0,0
22455,35,14,0,0
23482,35,14,0,0
24481,35,14,0,0
25541,35,14,0,0
26617,35,17,0,0
27583,35,17,0,0
28583,35,17,0,0
29632,35,17,0,0
30655,36,13,0,0
31681,36,13,0,0
32680,36,13,0,0
33684,36,13,0,0
34709,33,13,2,0
35693,33,13,2,0
36729,33,13,2,0
37732,33,13,2,0
38754,33,13,0,0
39732,33,13,0,0
40732,33,13,0,0
41731,33,13,0,0
42814,35,11,0,0
43779,35,11,0,0
44783,35,11,0,0
45786,35,11,0,0
46802,36,12,0,0
47788,36,12,0,0
48790,36,12,0,0
49780,36,12,0,0
50822,35,13,0,0
51833,35,13,0,0
52832,35,13,0,0
