time,total received,total sent,mobile received,mobile sent
54,30961746,5115974,0,0
1103,30961746,5115974,0,0
2103,30961746,5115974,0,0
3158,30961746,5115974,0,0
4222,30961746,5115974,0,0
5206,30961746,5115974,0,0
6206,30961746,5115974,0,0
7253,30961746,5115974,0,0
8262,30961746,5115974,0,0
9303,30962522,5115974,0,0
10353,30962522,5115974,0,0
11370,30962611,5116152,0,0
