time,strength,level,source
837,99,3,gsm
3886,99,3,gsm
6936,99,3,gsm
9937,99,3,gsm
11989,99,3,gsm
14996,99,3,gsm
19040,99,3,gsm
23041,99,3,gsm
25069,99,4,gsm
28086,99,3,gsm
30086,99,3,gsm
33109,99,3,gsm
37173,99,3,gsm
41141,99,3,gsm
43189,99,3,gsm
46191,99,3,gsm
48187,99,3,gsm
51189,99,3,gsm
55197,99,3,gsm
58187,99,3,gsm
61259,99,3,gsm
78439,99,3,gsm
79446,99,3,gsm
