time,dB(SPL)
20066,75.10377
20116,67.08985
20165,65.01328
20216,62.67716
20266,59.04616
20316,66.77311
20366,60.44857
20417,59.43479
20466,60.15496
20516,63.57954
20566,65.95083
20616,66.86817
20666,64.01154
20716,61.59086
20766,57.34935
20839,51.17417
20895,46.88785
20916,52.48564
20966,54.26981
21015,53.25516
21065,53.67894
21116,63.60252
21167,65.90694
21216,66.34873
21266,65.77839
21316,65.92892
21366,65.87167
21415,61.88243
21466,53.44196
21516,45.57507
21566,39.82452
21616,36.52150
21665,39.82452
21716,60.81995
21766,70.21894
21816,71.57049
21879,68.59827
21915,66.33199
21966,65.35751
22016,70.27500
22067,67.85042
22117,67.92747
22166,71.62078
22216,75.28352
22266,73.20212
22316,71.64354
22366,71.63444
22416,70.91356
22467,72.62685
22515,73.65553
22566,72.55551
22615,71.43185
22666,72.59838
22716,72.92219
22767,76.75429
22815,79.20942
22879,78.52067
22916,79.52516
22966,79.95821
23015,76.51890
23065,74.11556
23115,72.86510
23165,69.18785
23216,70.77399
23266,72.47325
23316,74.86706
23366,74.23952
23416,76.23552
23466,75.59049
23516,74.87960
23566,75.73787
23616,79.22842
23666,76.90072
23716,74.26981
23766,72.98670
23816,73.77729
23866,76.99821
23929,74.61565
23968,70.90367
24016,75.65662
24066,72.32741
24116,75.35943
24166,71.18856
24215,70.61680
24265,70.42538
24316,76.55901
24366,75.87162
24416,77.06301
24466,74.25131
24517,73.20972
24565,75.82679
24616,76.98962
24665,76.75051
24715,76.41585
24766,76.20734
24816,74.11727
24866,71.67757
24949,70.72612
24966,72.27895
25015,74.31673
25066,71.86129
25116,70.35183
25166,69.80198
25216,67.36946
25266,69.71727
25315,71.69115
25365,71.66398
25415,73.82163
25465,71.35699
25516,66.95440
25565,68.30948
25616,69.84403
25666,69.95517
25716,74.20912
25765,77.01292
25816,77.62198
25866,75.42440
25916,72.27684
25979,69.76819
26016,69.39350
26066,74.03136
26117,79.71481
26166,78.30589
26216,80.89080
26266,73.07582
26318,75.01942
26367,72.31900
26416,70.60143
26466,70.22697
26516,69.27487
26566,65.66150
26616,66.64473
26665,65.92453
26716,65.25377
26766,65.26799
26816,62.91014
26867,72.36724
26916,75.10987
26980,74.43456
27017,73.90263
27067,74.01407
27117,73.77729
27166,70.97516
27216,67.03979
27266,63.19134
27315,73.66635
27366,74.68960
27418,75.35054
27466,70.84655
27515,75.41410
27566,77.06179
27616,71.26962
27666,65.40426
27716,70.84655
27765,73.07582
27816,70.70335
27866,72.17694
27916,72.78774
27978,70.98497
28016,70.02392
28066,68.54648
28116,64.46473
28166,59.36031
28216,62.14420
28267,59.69954
28316,58.41290
28365,55.13272
28415,63.12492
28465,65.05706
28515,69.34624
28565,72.48977
28615,70.86894
28666,71.43185
28716,72.93591
28766,70.53195
28816,70.24835
