time,strength,level,source
448,99,4,gsm
2478,99,4,gsm
5583,99,4,gsm
9678,99,4,gsm
12683,99,4,gsm
14731,99,4,gsm
16829,99,4,gsm
19832,99,4,gsm
23930,99,4,gsm
27980,99,4,gsm
29981,99,4,gsm
32998,99,4,gsm
35030,99,4,gsm
