time,USER,SYSTEM,IOW,IRQ
785,39,20,3,0
1826,37,16,0,0
2786,37,16,0,0
3785,37,16,0,0
4834,37,16,0,0
5867,38,14,1,0
6839,38,14,1,0
7841,38,14,1,0
8837,38,14,1,0
9861,41,17,1,0
10848,41,17,1,0
11844,41,17,1,0
12888,41,17,1,0
13892,37,15,0,0
14887,37,15,0,0
15888,37,15,0,0
16934,37,15,0,0
17981,39,14,0,0
18952,39,14,0,0
19936,39,14,0,0
20984,39,14,0,0
22016,44,19,0,0
22988,44,19,0,0
23985,44,19,0,0
24996,44,19,0,0
26023,36,14,1,0
27042,36,14,1,0
28034,36,14,1,0
29036,36,14,1,0
30127,37,15,0,0
31087,37,15,0,0
32085,37,15,0,0
33086,37,15,0,0
34089,34,15,1,0
35089,34,15,1,0
36085,34,15,1,0
37087,34,15,1,0
38109,38,11,0,0
39088,38,11,0,0
40084,38,11,0,0
41085,38,11,0,0
42118,36,11,1,0
43087,36,11,1,0
44087,36,11,1,0
45137,36,11,1,0
46187,40,12,0,0
47187,40,12,0,0
48237,40,12,0,0
49234,40,12,0,0
50270,36,13,0,0
51238,36,13,0,0
