time,available,total
785,309731328,1945096192
1826,319057920,1945096192
2786,318271488,1945096192
3785,317251584,1945096192
4834,319426560,1945096192
5867,319557632,1945096192
6839,319275008,1945096192
7841,318148608,1945096192
8837,318394368,1945096192
9861,321122304,1945096192
10848,325390336,1945096192
11844,327860224,1945096192
12888,326230016,1945096192
13892,325423104,1945096192
14887,328028160,1945096192
15888,343781376,1945096192
16934,361615360,1945096192
17981,362913792,1945096192
18952,362569728,1945096192
19936,362930176,1945096192
20984,362381312,1945096192
22016,359026688,1945096192
22988,360726528,1945096192
23985,360632320,1945096192
24996,360284160,1945096192
26023,360296448,1945096192
27042,358752256,1945096192
28034,359837696,1945096192
29036,359317504,1945096192
30127,358338560,1945096192
31087,358481920,1945096192
32085,358297600,1945096192
33086,359395328,1945096192
34089,359051264,1945096192
35089,359600128,1945096192
36086,357969920,1945096192
37087,358432768,1945096192
38109,360439808,1945096192
39088,359690240,1945096192
40084,359596032,1945096192
41085,358703104,1945096192
42118,359055360,1945096192
43087,358006784,1945096192
44087,358080512,1945096192
45137,357064704,1945096192
46187,357408768,1945096192
47187,356769792,1945096192
48237,356175872,1945096192
49234,354693120,1945096192
50270,355237888,1945096192
51238,356282368,1945096192
