time,steps
236,4719
12439,4720
13422,4721
14429,4724
15429,4726
16474,4728
17522,4731
18521,4733
19522,4735
20565,4737
21522,4739
22522,4741
23522,4743
24555,4745
25522,4747
30573,4748
31571,4750
32574,4751
33577,4753
34575,4755
35573,4757
36576,4759
37574,4761
38572,4763
39570,4765
40579,4767
41626,4770
