time,strength,level,source
236,99,4,gsm
3281,99,4,gsm
5274,99,4,gsm
9373,99,4,gsm
12438,99,4,gsm
16473,99,4,gsm
18521,99,4,gsm
21522,99,4,gsm
24555,99,4,gsm
28577,99,4,gsm
31571,99,4,gsm
33576,99,4,gsm
36576,99,4,gsm
38571,99,3,gsm
