44204,2260,-1308,16948,-463,414,-373
54084,2256,-1252,16932,-467,445,-371
63964,2172,-1308,16956,-455,393,-328
73844,2288,-1368,16956,-498,358,-257
83748,2276,-1380,17008,-496,220,-208
93608,2264,-1372,16680,-473,178,-158
103488,2216,-1464,16836,-411,83,-123
113364,2224,-1436,16772,-355,69,-130
123244,2248,-1424,16800,-353,101,-135
133384,2328,-1456,16788,-327,86,-155
143264,2276,-1528,16928,-317,51,-129
153144,2376,-1352,16756,-358,112,-135
163284,2388,-1448,16800,-457,189,-119
173424,2412,-1448,16660,-509,343,-121
183564,2284,-1480,16532,-540,417,-104
193704,2268,-1520,16756,-532,339,-53
203584,2364,-1532,16704,-490,229,25
213204,2332,-1496,16656,-407,143,98
222824,2328,-1428,16652,-276,126,162
232704,2308,-1452,16912,-119,111,193
242584,2316,-1340,16812,-50,269,230
252208,2256,-1280,16916,-8,367,251
261564,2108,-1244,17112,-37,460,173
271184,2104,-1248,17224,-91,470,82
280544,2024,-1236,17116,-165,460,9
289904,2048,-1208,17120,-298,476,-69
299784,2104,-1208,17120,-394,428,-126
309924,2068,-1320,17152,-468,448,-190
320064,2052,-1400,16900,-488,530,-270
330204,2116,-1380,16968,-503,590,-312
340344,2008,-1312,16812,-486,584,-306
350484,2036,-1408,16840,-479,523,-306
360624,2008,-1420,16996,-451,449,-283
370768,2016,-1396,16872,-422,319,-304
380904,2144,-1524,16944,-386,144,-234
391044,2160,-1444,17004,-462,102,-204
401184,2156,-1312,16828,-540,71,-163
411064,2228,-1420,17048,-599,134,-152
421204,2380,-1472,16776,-630,224,-201
431344,2368,-1388,16924,-530,397,-207
441484,2316,-1432,16780,-431,533,-157
451636,2168,-1472,16860,-397,485,-74
461496,2160,-1552,16868,-369,300,14
471128,2144,-1548,16644,-365,86,76
480484,2336,-1432,16692,-314,-14,131
490364,2404,-1412,16876,-331,-39,170
500268,2412,-1460,16852,-321,20,236
509864,2328,-1372,17044,-342,116,237
519744,2280,-1388,16884,-395,236,194
529624,2116,-1420,16916,-451,393,124
539504,2096,-1400,16904,-427,492,22
549124,2036,-1476,17008,-423,441,-69
559004,2148,-1488,16788,-397,398,-115
569144,2008,-1364,16696,-404,343,-139
579284,2152,-1448,16828,-336,326,-82
589164,2032,-1532,16840,-272,286,6
598524,2016,-1384,16984,-302,244,86
