14996,328,496,16856,-228,305,59
20004,584,504,16792,-241,307,87
25004,472,524,16900,-295,319,67
30008,432,520,16884,-276,335,93
37704,376,648,17116,-289,236,103
46544,440,664,17024,-283,183,77
55124,528,588,16852,-289,189,46
63704,332,572,16964,-261,138,-38
72544,412,496,16768,-287,50,-76
81124,484,584,16760,-334,27,-79
89704,404,684,16716,-368,75,-78
98284,460,660,16804,-391,150,13
106864,592,484,16752,-422,259,95
115704,540,548,17028,-460,221,143
124804,680,596,17052,-412,245,141
133904,716,544,17044,-363,200,52
142744,668,448,16832,-342,48,-121
151844,620,480,16792,-291,-97,-249
161204,604,524,16836,-261,-39,-214
170564,624,544,16816,-265,262,-155
179924,808,448,16924,-433,496,-135
189284,356,236,17172,-577,359,-204
198644,180,292,17012,-541,45,-259
207744,256,232,16964,-378,-42,-211
217108,260,540,16808,-186,51,-59
225944,564,520,16740,-143,170,33
234784,540,400,16964,-284,206,4
243364,572,552,17156,-373,86,-28
252208,548,560,17020,-323,152,-32
261304,664,560,16972,-151,393,-21
270408,752,612,16776,-55,489,-43
279244,752,652,16936,-71,472,-135
288344,656,688,16956,-164,361,-269
297704,436,732,16800,-172,193,-329
307064,384,652,16696,-96,299,-252
316188,500,580,16608,-70,359,-184
325264,488,616,16664,-148,316,-151
334624,480,516,16472,-224,280,-158
343984,348,496,16684,-314,169,-130
353348,344,636,16924,-291,154,-96
362444,436,544,16864,-198,183,-25
371544,576,512,16936,-165,199,-55
380668,452,552,16896,-150,110,-107
390004,600,676,16956,-156,178,-119
399368,584,632,16848,-186,325,-152
408724,404,560,16960,-269,216,-175
418084,436,532,16980,-258,168,-153
427444,500,672,16872,-265,253,-71
436544,452,660,16868,-210,355,-26
445648,484,732,16688,-201,465,-14
454740,504,504,16824,-247,333,0
463324,568,628,16820,-327,285,-66
472424,680,636,16728,-385,325,-78
481524,668,520,16852,-361,381,-177
490884,576,416,17076,-371,248,-281
500268,488,464,17092,-301,206,-307
509604,448,536,16992,-191,257,-264
518964,572,656,16808,-114,331,-203
528324,432,948,16692,-168,423,-131
537688,420,916,16568,-334,472,-93
546784,456,852,16564,-495,466,-44
555884,656,700,16824,-582,406,-77
564984,408,744,16972,-535,367,-109
574344,404,532,16832,-414,376,-144
583708,480,640,16940,-335,337,-147
593064,376,700,16920,-286,399,-101
602424,472,696,16720,-345,558,-3
611264,528,820,16896,-440,582,45
620104,536,600,16784,-479,562,-10
629204,536,680,16836,-447,589,-14
638304,540,728,16792,-433,628,-32
647404,296,680,16884,-470,595,-39
656504,416,540,16816,-480,593,5
665084,448,644,16860,-507,544,-75
674184,456,624,16816,-470,511,-142
683568,256,732,16500,-438,570,-127
692904,372,700,16560,-482,722,-43
702004,268,536,16744,-527,712,-41
711104,172,604,16912,-486,717,-1
719948,220,700,16812,-417,798,46
728784,208,532,16732,-324,995,83
737624,244,580,16728,-275,1172,106
746984,88,772,16700,-263,1168,137
756084,92,688,16536,-271,1284,202
765184,224,676,16616,-406,1145,243
774544,280,464,17116,-565,1075,245
783904,296,632,17060,-598,1007,307
793264,264,444,17068,-652,968,316
802364,440,544,16788,-594,1231,276
811724,356,408,16780,-508,1520,208
821084,220,416,17152,-385,1333,133
830444,156,408,16928,-309,1206,174
839804,196,516,16724,-216,1554,322
849164,288,732,16644,-204,2286,434
858524,0,608,16948,-235,2652,514
867368,-88,528,17036,-301,2453,608
876724,-172,572,17124,-433,2113,672
886344,-88,532,16964,-532,2032,671
895704,40,356,17044,-566,1862,563
904804,48,412,17092,-546,1778,490
913904,60,460,17072,-481,1812,418
923004,28,404,17212,-446,1794,303
932104,-248,300,17280,-390,1559,168
941724,-396,400,17072,-352,1428,205
951348,-380,432,16920,-358,1455,308
960964,-328,428,16860,-396,1404,353
970584,-256,624,16620,-425,1535,442
980204,-196,604,16720,-510,1854,510
989816,-260,504,16940,-620,1960,504
999448,-340,564,16792,-659,2102,438
1009064,-388,524,16884,-624,2555,465
1018948,-628,240,17112,-596,2413,317
1028824,-688,56,17304,-520,2045,174
1038448,-712,128,17072,-442,1801,85
1048064,-688,192,17100,-346,1790,60
1057684,-676,580,16956,-235,2064,102
1067564,-568,700,16872,-190,2534,189
1077444,-384,696,16908,-323,3174,197
1087324,-616,564,16844,-551,3255,83
1096944,-692,972,16596,-646,3699,66
1106588,-796,896,16832,-674,4225,149
1116444,-868,688,16972,-778,4284,60
1126064,-972,648,17168,-837,4089,10
1135688,-1072,612,16996,-889,4192,-59
1145824,-1088,408,16692,-981,4256,-166
1156224,-1248,336,16564,-1039,4320,-300
1166908,-1488,308,16480,-958,4439,-501
1177284,-1680,236,17052,-829,3832,-579
1187684,-1800,404,16832,-681,3368,-596
1198088,-1548,644,16396,-576,3860,-530
1208484,-1660,516,16664,-643,4401,-526
1218884,-1548,624,16348,-908,5029,-391
1229284,-1992,480,16184,-1094,6104,-244
1239944,-2504,196,16732,-1146,5877,-285
1250608,-2716,324,16600,-944,5326,-64
1260744,-2620,32,16552,-848,5057,171
1270624,-2780,68,16620,-824,4750,366
1280504,-2616,-40,16324,-832,4787,425
1290644,-2732,32,16816,-849,4856,394
1300532,-2796,108,16980,-810,4600,296
1310668,-2812,92,16704,-716,4533,147
1320544,-3056,-108,16784,-651,4458,65
1330684,-3404,-52,16772,-607,3765,-13
1340824,-3488,28,16348,-473,3223,32
1350444,-3272,208,15684,-351,3962,268
1360584,-3396,364,16000,-415,5097,594
1370724,-3432,392,16192,-777,5620,862
1380864,-3452,468,16072,-1171,6185,1014
1391524,-3480,404,16348,-1582,6578,1009
1402188,-3548,140,16272,-1715,6583,890
