time,available,total
466,305295360,1945096192
1467,304906240,1945096192
2495,305041408,1945096192
3469,304656384,1945096192
4469,304529408,1945096192
5468,306888704,1945096192
6471,306253824,1945096192
7467,306307072,1945096192
8465,306180096,1945096192
9468,306106368,1945096192
10495,307314688,1945096192
11465,305139712,1945096192
12465,306409472,1945096192
13466,305262592,1945096192
14499,305860608,1945096192
15520,304680960,1945096192
16514,305012736,1945096192
17515,303943680,1945096192
18520,303493120,1945096192
19521,304050176,1945096192
20519,303407104,1945096192
21567,302649344,1945096192
22566,308088832,1945096192
23569,308559872,1945096192
24570,308678656,1945096192
25567,308609024,1945096192
26639,307953664,1945096192
27616,308817920,1945096192
28617,309964800,1945096192
29615,309678080,1945096192
30656,308588544,1945096192
31665,307027968,1945096192
32666,308035584,1945096192
33668,307113984,1945096192
34703,307621888,1945096192
35671,307343360,1945096192
36666,306409472,1945096192
37665,306188288,1945096192
38689,305283072,1945096192
39670,305922048,1945096192
40666,307683328,1945096192
41665,306614272,1945096192
42688,306835456,1945096192
43666,305496064,1945096192
44667,307081216,1945096192
45674,307474432,1945096192
46698,307015680,1945096192
47665,307326976,1945096192
