time,USER,SYSTEM,IOW,IRQ
466,32,14,0,0
1467,32,14,0,0
2495,37,13,0,0
3469,37,13,0,0
4469,37,13,0,0
5468,37,13,0,0
6470,39,13,0,0
7467,39,13,0,0
8465,39,13,0,0
9468,39,13,0,0
10495,38,12,0,0
11465,38,12,0,0
12465,38,12,0,0
13466,38,12,0,0
14498,36,11,0,0
15520,36,11,0,0
16514,36,11,0,0
17515,36,11,0,0
18520,41,12,1,0
19521,41,12,1,0
20519,41,12,1,0
21567,41,12,1,0
22566,39,12,0,0
23569,39,12,0,0
24570,39,12,0,0
25567,39,12,0,0
26639,43,13,0,0
27616,43,13,0,0
28617,43,13,0,0
29615,43,13,0,0
30656,42,17,0,0
31665,42,17,0,0
32666,42,17,0,0
33668,42,17,0,0
34703,34,12,0,0
35671,34,12,0,0
36666,34,12,0,0
37665,34,12,0,0
38689,36,13,0,0
39670,36,13,0,0
40666,36,13,0,0
41665,36,13,0,0
42688,35,12,0,0
43666,35,12,0,0
44667,35,12,0,0
45674,35,12,0,0
46698,37,11,0,0
47665,37,11,0,0
