time,strength,level,source
162,99,3,gsm
2209,99,3,gsm
6263,99,3,gsm
8352,99,3,gsm
10361,99,3,gsm
13411,99,3,gsm
16462,99,3,gsm
21512,99,3,gsm
23511,99,3,gsm
26610,99,3,gsm
