time,available,total
162,250281984,1945096192
1159,250621952,1945096192
2209,257855488,1945096192
3209,258322432,1945096192
4235,256237568,1945096192
5211,254226432,1945096192
6264,254791680,1945096192
7311,252936192,1945096192
8353,252784640,1945096192
9313,251580416,1945096192
10361,251920384,1945096192
11361,256090112,1945096192
12398,257376256,1945096192
13411,254918656,1945096192
14421,257548288,1945096192
15462,256692224,1945096192
16462,260521984,1945096192
17462,260988928,1945096192
18461,260440064,1945096192
19509,259989504,1945096192
20511,259874816,1945096192
21513,258777088,1945096192
22509,257892352,1945096192
23511,258441216,1945096192
24562,257609728,1945096192
25610,257257472,1945096192
26611,258019328,1945096192
