time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
162,60,3765,29.4,-9223372036854775808,733222,0
1159,60,3765,29.4,-9223372036854775808,538801,0
2209,60,3765,29.4,-9223372036854775808,679869,0
3209,60,3765,29.4,-9223372036854775808,796786,0
4235,60,3765,29.4,-9223372036854775808,781526,0
5210,60,3765,29.4,-9223372036854775808,440328,0
6263,60,3765,29.4,-9223372036854775808,536935,0
7311,60,3765,29.4,-9223372036854775808,587763,0
8353,60,3765,29.4,-9223372036854775808,526067,0
9313,60,3765,29.4,-9223372036854775808,371715,0
10361,60,3765,29.4,-9223372036854775808,480289,0
11361,60,3765,29.4,-9223372036854775808,498731,0
12398,60,3765,29.4,-9223372036854775808,609939,0
13411,60,3765,29.4,-9223372036854775808,482923,0
14420,60,3765,29.4,-9223372036854775808,508283,0
15462,60,3765,29.4,-9223372036854775808,538142,0
16462,60,3765,29.4,-9223372036854775808,561636,0
17462,60,3765,29.4,-9223372036854775808,449880,0
18461,60,3765,29.4,-9223372036854775808,497523,0
19509,60,3765,29.4,-9223372036854775808,634091,0
20511,60,3765,29.4,-9223372036854775808,665268,0
21512,60,3765,29.4,-9223372036854775808,643642,0
22509,60,3765,29.4,-9223372036854775808,704680,0
23511,60,3765,29.4,-9223372036854775808,637275,0
24562,60,3765,29.4,-9223372036854775808,374241,0
25610,60,3765,29.4,-9223372036854775808,789210,0
26611,60,3765,29.4,-9223372036854775808,547694,0
