time,distance
50,5.00000
97,5.00000
162,5.00000
199,5.00000
247,5.00000
298,5.00000
347,5.00000
397,5.00000
447,5.00000
497,5.00000
548,5.00000
597,5.00000
647,5.00000
697,5.00000
747,5.00000
797,5.00000
847,5.00000
897,5.00000
948,5.00000
997,5.00000
1048,5.00000
1097,5.00000
1159,5.00000
1198,5.00000
1248,5.00000
1297,5.00000
1347,5.00000
1398,5.00000
1447,5.00000
1497,5.00000
1547,5.00000
1598,5.00000
1649,5.00000
1697,5.00000
1747,5.00000
1797,5.00000
1847,5.00000
1897,5.00000
1947,5.00000
1997,5.00000
2049,5.00000
2098,5.00000
2147,5.00000
2209,5.00000
2248,5.00000
2297,5.00000
2347,5.00000
2398,5.00000
2448,5.00000
2497,5.00000
2547,5.00000
2597,5.00000
2647,5.00000
2697,5.00000
2747,5.00000
2797,5.00000
2847,5.00000
2897,5.00000
2947,5.00000
2998,5.00000
3047,5.00000
3097,5.00000
3148,5.00000
3209,5.00000
3249,5.00000
3298,5.00000
3348,5.00000
3397,5.00000
3447,5.00000
3497,5.00000
3548,5.00000
3597,5.00000
3647,5.00000
3698,5.00000
3748,5.00000
3799,5.00000
3849,5.00000
3897,5.00000
3947,5.00000
3997,5.00000
4047,5.00000
4098,5.00000
4147,5.00000
4235,5.00000
4247,5.00000
4297,5.00000
4347,5.00000
4397,5.00000
4447,5.00000
4497,5.00000
4547,5.00000
4597,5.00000
4648,5.00000
4697,5.00000
4747,5.00000
4797,5.00000
4847,5.00000
4897,5.00000
4947,5.00000
4997,5.00000
5047,5.00000
5098,5.00000
5147,5.00000
5210,5.00000
5248,5.00000
5298,5.00000
5348,5.00000
5398,5.00000
5447,5.00000
5497,5.00000
5547,5.00000
5597,5.00000
5647,5.00000
5697,5.00000
5747,5.00000
5798,5.00000
5847,5.00000
5897,5.00000
5947,5.00000
5997,5.00000
6047,5.00000
6097,5.00000
6147,5.00000
6198,5.00000
6263,5.00000
6297,5.00000
6348,5.00000
6397,5.00000
6448,5.00000
6497,5.00000
6547,5.00000
6597,5.00000
6647,5.00000
6698,5.00000
6748,5.00000
6798,5.00000
6849,5.00000
6897,5.00000
6947,5.00000
7000,5.00000
7048,5.00000
7099,5.00000
7147,5.00000
7197,5.00000
7247,5.00000
7311,5.00000
7348,5.00000
7397,5.00000
7448,5.00000
7498,5.00000
7547,5.00000
7598,5.00000
7648,5.00000
7697,5.00000
7748,5.00000
7797,5.00000
7847,5.00000
