time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
263,83,4000,29.2,-9223372036854775808,1150980,0
1263,83,4000,29.2,-9223372036854775808,1252657,0
2260,83,4000,29.2,-9223372036854775808,1231002,0
3260,83,4000,29.2,-9223372036854775808,840344,0
4261,83,4000,29.2,-9223372036854775808,827043,0
5263,83,4000,29.2,-9223372036854775808,961697,0
6261,83,4000,29.2,-9223372036854775808,950265,0
7260,83,4000,29.2,-9223372036854775808,1006104,0
8316,83,4000,29.2,-9223372036854775808,811105,0
9262,83,4000,29.2,-9223372036854775808,960377,0
10261,83,4000,29.2,-9223372036854775808,912781,0
11261,83,4000,29.2,-9223372036854775808,637760,0
12263,83,4000,29.2,-9223372036854775808,874639,0
13263,83,4000,29.2,-9223372036854775808,748890,0
14260,83,4000,29.2,-9223372036854775808,1102066,0
15269,83,4000,29.2,-9223372036854775808,747570,0
16289,83,4000,29.2,-9223372036854775808,839684,0
17261,83,4000,29.2,-9223372036854775808,886071,0
18311,83,4000,29.2,-9223372036854775808,696787,0
19309,83,4000,29.2,-9223372036854775808,1112838,0
20364,83,4000,29.2,-9223372036854775808,663811,0
21417,83,4000,29.2,-9223372036854775808,724707,0
22414,83,4000,29.2,-9223372036854775808,664361,0
23461,83,4000,29.2,-9223372036854775808,727235,0
24542,83,4000,29.2,-9223372036854775808,863867,0
25510,83,4000,29.2,-9223372036854775808,1076674,0
26509,83,4000,29.2,-9223372036854775808,718992,0
27510,83,4000,29.2,-9223372036854775808,784504,0
28536,83,4000,29.2,-9223372036854775808,591923,0
29513,83,4000,29.2,-9223372036854775808,513879,0
30516,83,4000,29.2,-9223372036854775808,600827,0
31507,83,4000,29.2,-9223372036854775808,741305,0
32545,83,4000,29.2,-9223372036854775808,667548,0
33516,83,4000,29.2,-9223372036854775808,524651,0
34508,83,4000,29.2,-9223372036854775808,554550,0
35514,83,4000,29.2,-9223372036854775808,680959,0
36540,83,4000,29.2,-9223372036854775808,612918,0
37511,83,4000,29.2,-9223372036854775808,628196,0
38559,83,4000,29.2,-9223372036854775808,485300,0
39559,83,4000,29.2,-9223372036854775808,488488,0
40558,83,4000,29.2,-9223372036854775808,670077,0
41562,83,4000,29.2,-9223372036854775808,572907,0
42564,83,4000,29.2,-9223372036854775808,646004,0
43615,83,4000,29.2,-9223372036854775808,443969,0
44645,83,4000,29.2,-9223372036854775808,614897,0
45610,83,4000,29.2,-9223372036854775808,572907,0
46611,83,4000,29.2,-9223372036854775808,661832,0
47608,83,4000,29.2,-9223372036854775808,688543,0
48634,83,4000,29.2,-9223372036854775808,806049,0
49617,83,4000,29.2,-9223372036854775808,482112,0
