time,available,total
263,294440960,1945096192
1263,298438656,1945096192
2260,298459136,1945096192
3260,299110400,1945096192
4261,298921984,1945096192
5263,297357312,1945096192
6261,297115648,1945096192
7260,295522304,1945096192
8316,295407616,1945096192
9262,289914880,1945096192
10261,293171200,1945096192
11261,294408192,1945096192
12263,294449152,1945096192
13263,294006784,1945096192
14260,294764544,1945096192
15269,294006784,1945096192
16289,296050688,1945096192
17261,295354368,1945096192
18311,297283584,1945096192
19309,296374272,1945096192
20365,296493056,1945096192
21417,295010304,1945096192
22415,294686720,1945096192
23462,294281216,1945096192
24543,292491264,1945096192
25510,291418112,1945096192
26510,297193472,1945096192
27510,298987520,1945096192
28537,299061248,1945096192
29513,307408896,1945096192
30516,308920320,1945096192
31507,310034432,1945096192
32545,313290752,1945096192
33517,312266752,1945096192
34508,313315328,1945096192
35514,312381440,1945096192
36540,312410112,1945096192
37511,311455744,1945096192
38560,312324096,1945096192
39559,311955456,1945096192
40558,310824960,1945096192
41562,310489088,1945096192
42564,309391360,1945096192
43615,309133312,1945096192
44645,310603776,1945096192
45611,309575680,1945096192
46611,310005760,1945096192
47608,309985280,1945096192
48634,309399552,1945096192
49617,310927360,1945096192
