time,steps
263,429
7260,430
8316,432
9262,434
10261,436
11261,437
12263,439
13263,442
14260,443
15269,445
16289,447
17261,449
18311,452
19309,454
20365,456
21417,458
22414,459
23461,461
24543,463
25510,464
26509,466
27510,468
28537,469
29513,471
30516,473
31507,474
32545,477
33516,478
34508,480
35514,482
36540,483
37511,485
38559,487
39559,489
40558,491
41562,493
42564,495
43615,496
44645,498
45610,500
46611,501
47608,502
