time,USER,SYSTEM,IOW,IRQ
263,41,14,2,0
1263,41,14,2,0
2260,41,14,2,0
3260,41,14,2,0
4261,39,14,1,0
5263,39,14,1,0
6261,39,14,1,0
7260,39,14,1,0
8316,40,14,0,0
9262,40,14,0,0
10261,40,14,0,0
11261,40,14,0,0
12263,41,14,0,0
13263,41,14,0,0
14260,41,14,0,0
15269,41,14,0,0
16289,44,12,0,0
17261,44,12,0,0
18311,44,12,0,0
19309,44,12,0,0
20365,44,14,0,0
21417,44,14,0,0
22415,44,14,0,0
23462,44,14,0,0
24543,44,13,0,0
25510,44,13,0,0
26509,44,13,0,0
27510,44,13,0,0
28537,37,17,0,0
29513,37,17,0,0
30516,37,17,0,0
31507,37,17,0,0
32545,33,12,1,0
33517,33,12,1,0
34508,33,12,1,0
35514,33,12,1,0
36540,37,13,0,0
37511,37,13,0,0
38559,37,13,0,0
39559,37,13,0,0
40558,44,13,0,0
41562,44,13,0,0
42564,44,13,0,0
43615,44,13,0,0
44645,37,12,0,0
45610,37,12,0,0
46611,37,12,0,0
47608,37,12,0,0
48634,37,14,0,0
49617,37,14,0,0
