time,hPa
262,1006.70667
1263,1006.70667
2259,1006.70667
3260,1006.70667
4261,1006.69672
5263,1006.70667
6261,1006.70667
7259,1006.71667
8316,1006.72668
9262,1006.71667
10260,1006.70667
11261,1006.71667
12263,1006.72668
13262,1006.73615
14260,1006.70667
15269,1006.70667
16288,1006.71667
17261,1006.71667
18311,1006.71667
19309,1006.72668
20364,1006.72668
21416,1006.72668
22414,1006.72668
23461,1006.73218
24542,1006.73669
25510,1006.73669
26509,1006.74359
27509,1006.75665
28536,1006.76202
29513,1006.73669
30516,1006.72668
31507,1006.72668
32544,1006.70667
33516,1006.71002
34508,1006.71667
35513,1006.70667
36540,1006.71667
37511,1006.71667
38559,1006.71667
39558,1006.71667
40558,1006.70667
41560,1006.70667
42563,1006.71667
43615,1006.69983
44645,1006.72668
45610,1006.69672
46611,1006.70667
47607,1006.70667
48633,1006.69727
49616,1006.70667
