time,dB(SPL)
20097,63.89584
20147,62.75341
20196,65.61612
20246,59.72648
20296,59.89514
20361,60.41551
20400,60.35735
20446,57.74109
20496,53.17930
20546,56.77698
20596,53.64290
20646,60.68455
20696,59.44406
20747,66.26046
20796,63.48701
20847,64.14730
20896,56.25827
20945,62.82900
20997,59.80678
21045,52.82948
21096,52.23447
21145,55.37276
21197,53.27402
21246,54.87020
21296,59.73543
21346,64.27567
21414,62.94734
21446,61.26667
21496,56.08279
21547,61.38596
21596,60.53067
21646,62.07607
21696,60.01735
21747,64.61409
21796,64.82096
21846,62.06923
21895,67.21187
21946,70.09485
21996,66.78903
22046,71.07281
22097,69.70875
22146,74.72474
22195,72.52064
22246,69.59151
22296,66.94270
22346,65.95958
22409,61.24412
22446,66.69310
22496,64.88059
22546,56.19119
22595,59.56361
22645,62.79129
22696,66.62855
22746,60.89863
22796,59.17128
22846,59.42552
22896,50.90614
22946,59.21892
22996,55.59193
23047,65.20143
23104,54.97926
23146,55.13272
23196,57.26646
23246,63.71651
23298,51.52683
23346,57.95254
23396,66.34873
23460,56.63740
23497,51.00457
23545,80.94160
23597,73.28343
23646,72.01075
23696,60.24831
23746,60.72459
23796,67.62591
23846,68.35939
23896,67.30976
23946,57.26646
23996,53.64290
24046,58.50624
24097,59.84223
24146,60.34067
24196,61.73431
24245,59.15215
24296,58.56792
24347,59.83338
24396,65.22050
24445,58.61898
24541,61.48169
24553,64.28097
24597,56.46948
24645,59.47179
24696,56.02807
24746,59.07519
24796,60.15496
24846,58.78040
24896,68.20880
24946,70.27766
24997,70.65509
25046,70.49571
25096,71.71598
25146,68.75818
25197,74.98545
25245,73.04299
25296,66.02494
25346,65.39959
25397,49.60014
25446,31.59567
25509,30.37028
25547,40.58768
25598,30.88136
25647,45.97706
25697,45.15357
25746,25.57507
25796,49.93859
25845,49.57133
25895,49.91089
25946,43.63687
25996,36.77698
26045,45.24902
26095,51.88785
26146,53.96201
26195,48.75501
26245,61.59809
26295,66.78107
26346,57.67323
26396,56.73913
26446,53.82163
26508,54.13436
26546,50.15712
26596,55.22352
26646,58.98780
26696,66.28156
26746,62.61953
26796,62.25880
26846,59.94773
26896,55.97301
26946,57.12249
26995,67.85042
27046,49.36695
27098,48.36603
27146,61.28916
27195,53.92713
27246,58.45451
27296,62.75973
27346,55.47573
27396,57.09826
27446,72.27895
27508,65.90254
27546,64.53200
27596,68.61440
27645,69.68884
27698,57.36113
27746,61.67722
27796,58.90937
27845,64.32860
27896,60.07782
27946,68.07956
27996,67.77978
28046,63.67109
28095,64.29688
28146,67.17392
28198,64.46473
28246,68.36934
28296,59.98261
28346,72.58411
28395,89.72776
28446,88.29813
28510,66.02060
28546,70.34128
28596,67.48029
28646,73.16214
28696,67.66913
28746,59.50864
28795,59.70853
28845,66.58796
28895,66.71718
28946,58.30800
28996,62.98438
29046,66.72119
29096,71.03144
29146,75.25207
29195,70.45410
29246,65.05221
29296,60.45681
29346,59.44406
29399,63.03352
29447,62.47050
29510,68.23576
29546,69.63745
29596,65.54301
29647,68.77085
29695,71.07038
29745,64.99864
29795,63.17328
29846,65.41823
29896,70.90614
29946,71.32168
29998,69.33439
30046,62.08974
30096,64.28097
30146,70.91604
30197,76.95022
30247,80.09416
30297,74.97306
