time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
770,60,3765,29.4,-9223372036854775808,702476,0
1768,60,3765,29.4,-9223372036854775808,536973,0
2769,60,3765,29.4,-9223372036854775808,426236,0
3768,60,3765,29.4,-9223372036854775808,592397,0
4776,60,3765,29.4,-9223372036854775808,525537,0
5770,60,3765,29.4,-9223372036854775808,474622,0
6774,60,3765,29.4,-9223372036854775808,576452,0
7767,60,3765,29.4,-9223372036854775808,507062,0
8768,60,3765,29.4,-9223372036854775808,566885,0
9769,60,3765,29.4,-9223372036854775808,729858,0
10774,60,3765,29.4,-9223372036854775808,624178,0
11769,60,3765,29.4,-9223372036854775808,600645,0
12768,60,3765,29.4,-9223372036854775808,714572,0
13824,60,3765,29.4,-9223372036854775808,649031,0
14817,60,3765,29.4,-9223372036854775808,731067,0
15819,60,3765,29.4,-9223372036854775808,681472,0
16817,59,3786,29.2,-9223372036854775808,537633,0
17857,59,3786,29.2,-9223372036854775808,592397,0
18822,59,3786,29.2,-9223372036854775808,473962,0
19820,59,3786,29.2,-9223372036854775808,623518,0
20817,59,3786,29.2,-9223372036854775808,414139,0
21857,59,3786,29.2,-9223372036854775808,667396,0
22822,59,3786,29.2,-9223372036854775808,527407,0
23870,59,3786,29.2,-9223372036854775808,724029,0
24869,59,3786,29.2,-9223372036854775808,723480,0
25879,59,3786,29.2,-9223372036854775808,716442,0
26869,59,3786,29.2,-9223372036854775808,831578,0
27867,59,3786,29.2,-9223372036854775808,732387,0
28870,59,3786,29.2,-9223372036854775808,611422,0
