time,dB(SPL)
17589,65.08613
17639,63.00284
17689,65.73811
17759,65.20620
17788,62.71537
17838,60.70859
17888,55.28352
17940,61.38596
17989,63.89029
18039,63.79542
18089,66.92706
18139,65.63884
18189,67.68707
18239,67.07063
18289,71.05336
18347,71.68889
18391,69.72578
18439,65.61612
18489,72.06938
18539,74.42137
18589,64.73578
18639,70.76393
18688,70.94811
18752,69.85521
18808,71.26487
18839,69.17880
18889,69.29575
18939,69.45220
18989,69.29277
19039,70.77399
19089,69.95793
19139,69.72861
19189,72.18335
19239,71.50838
19288,70.13821
19339,70.11927
19389,69.90256
19438,74.70399
19489,72.06505
19539,74.57357
19589,75.36536
19639,67.29477
19689,79.07133
19750,88.13727
19789,73.61215
19839,73.25893
19888,68.23576
19939,66.89963
19989,67.91352
20039,68.57241
20089,68.93695
20139,70.48792
20189,63.55650
20239,70.94565
20288,70.65254
20339,69.26591
20390,70.39656
20439,68.47802
20488,64.92505
20542,69.94136
20589,63.50444
20639,71.58195
20689,72.21107
20739,72.61262
20800,71.23157
20839,66.92706
20889,68.78349
20939,70.22965
20989,67.20429
21039,69.06025
21089,65.44612
21139,62.52263
21190,51.19813
21240,56.28495
21290,72.63090
21339,72.73577
21389,73.29096
21439,75.55289
21489,72.18335
21539,70.71853
21588,64.84088
21639,57.38463
21689,72.80565
21738,73.23057
21800,70.42538
21839,73.98982
21889,72.02599
21939,70.16790
21989,67.21187
22039,70.76393
22089,80.14215
22139,79.66892
22188,75.50638
22239,72.62482
22289,73.17167
22339,72.22809
22388,70.86397
22439,73.79683
22489,76.22211
22539,73.89912
22589,78.60981
22639,76.82969
22688,75.79302
22738,74.89837
22802,76.25426
22839,77.64024
22888,73.52838
22938,74.43127
22989,74.17352
23038,81.25465
23089,77.00680
23141,79.57912
23189,78.30800
23239,75.72082
23290,76.37112
23339,77.61856
23389,76.23016
23439,77.56699
23489,79.32753
23539,78.64542
23589,78.79538
23639,77.74784
23689,72.69760
23739,74.50189
23802,77.34346
23839,75.74779
23889,73.11429
23939,72.01946
23989,70.62191
24039,70.32277
24089,75.87720
24139,75.66377
24189,79.74796
24239,89.45542
24289,84.06392
24340,89.74362
24390,88.45639
24439,71.13811
24488,74.57519
24538,77.04960
24589,73.70408
24639,78.24976
24689,84.47563
24740,88.97474
24789,76.87586
24850,73.11237
24888,89.72010
24939,87.71391
24989,78.63831
25039,72.18335
25089,78.07482
25139,74.42962
25189,73.83224
25239,89.75521
25288,89.52388
25339,71.98018
25389,80.55270
25438,74.21419
25489,65.20143
25539,64.60387
25589,65.46003
25638,61.00760
25689,59.66350
25739,56.97609
25790,68.38259
25850,74.46254
25889,77.74109
25939,77.95804
25989,74.00369
26039,77.39636
26089,73.39192
26140,75.20845
26188,75.25957
26238,80.92053
26289,77.81959
26339,78.43165
26389,77.61513
26439,70.61935
26489,65.97706
26539,64.74082
26589,71.60938
26639,81.18748
26689,74.22264
26739,71.20292
26789,73.53204
26865,74.25972
26907,74.46583
26938,72.07804
26998,72.40272
27039,75.18126
27090,72.35677
27138,69.32252
27188,67.79395
27239,77.02761
27289,77.48035
27339,76.30358
27389,72.72775
27439,72.86313
27489,72.54322
27539,76.97732
27589,78.59349
27639,76.91932
27689,73.00809
27739,70.11656
27789,74.47240
27851,76.72142
27889,71.87237
27938,79.30874
27989,70.17329
28039,89.76199
28088,87.29440
28139,70.56033
28189,84.66145
28239,70.96041
28288,73.28720
28338,75.09002
28389,73.86398
28439,75.47134
28489,68.45180
28539,66.80888
28588,67.46192
28638,73.70229
28689,75.66664
28739,75.06553
28789,73.51190
28850,74.47896
28888,75.86603
28938,76.78830
28989,76.20734
29038,77.36348
29089,76.23418
29139,74.84193
29189,75.65089
29239,76.85343
29289,76.14664
29338,74.52802
29388,74.09502
29438,79.86520
29488,75.63654
29539,76.64123
29589,75.44056
29640,72.87300
29688,70.91604
29739,68.32615
29789,70.92592
29849,80.28957
29890,79.23696
29938,77.61056
29989,78.49282
30039,77.61856
30089,76.55901
30138,75.94397
30189,75.22954
30239,77.46176
30289,78.59553
30339,76.25559
30389,70.15712
30438,72.58411
30488,76.45382
30540,74.81041
30590,73.73094
30639,76.25292
30689,75.69235
30739,73.23815
30789,69.56844
30852,71.93194
30888,75.24607
30938,74.44280
30990,79.72558
31039,77.71175
31088,72.54937
31139,82.33083
31191,81.52261
31239,86.28409
31289,79.24170
31339,78.73630
31389,85.20095
31439,84.78198
31489,82.59122
31539,72.41937
31589,66.02060
31639,73.96549
31689,75.03482
31739,68.51394
31790,71.39450
31852,71.25299
31888,70.69321
31939,68.77717
31989,68.02111
32039,68.24249
32088,66.36544
32139,69.25095
32188,73.95330
32238,73.33971
32289,76.02670
32339,74.84665
32389,80.05023
32438,88.49175
32489,72.28951
32539,75.45963
32590,73.00032
32639,76.41716
32689,75.01171
32739,75.65089
32789,72.92023
32854,74.53454
32891,75.03328
32939,73.72915
32990,79.25496
33039,78.02917
33089,76.65018
33139,76.98716
33190,75.79725
33238,74.80251
33289,72.06505
33339,67.48763
33392,79.62822
33439,78.97022
33489,70.40705
33539,70.59374
33590,69.90811
33639,78.24976
33688,77.28666
33738,78.95357
33789,77.19237
33852,75.30144
33888,73.79328
33939,70.73369
33990,75.65375
34039,75.36536
34089,73.42346
34138,73.62844
34189,73.58492
34239,72.61059
34289,71.04363
34339,69.97999
34388,68.26935
34439,74.12923
34489,75.26556
34539,72.54527
34588,74.65109
34640,74.43292
34689,68.64335
34739,68.54648
34789,70.02119
34838,68.51394
34900,60.33231
34939,58.43373
34989,67.92050
