time,strength,level,source
601,99,4,gsm
2652,99,4,gsm
5652,99,4,gsm
7652,99,4,gsm
10653,99,4,gsm
14754,99,4,gsm
17760,99,4,gsm
20800,99,3,gsm
22827,99,4,gsm
25851,99,4,gsm
28851,99,4,gsm
31853,99,3,gsm
34901,99,4,gsm
